rank,organ,system,n_present,frac_present,spearman_vol_age,spearman_p_bh_fdr,perm_importance,organ_clock_mae,best_pathology,best_cohen_d,best_p,best_p_bh_fdr
27,rib_left_1,skeletal,741,0.604,0.0857045967617544,0.042593186608455146,0.05403478282356324,12.114811128168151,trauma,0.20813327173573978,0.034584566989977604,0.13714569668439394
28,rib_left_6,skeletal,907,0.739,0.0586851223778163,0.12349186831051252,0.05234668085032505,11.860124983418553,tumor,0.07377512277226791,0.19810847145823618,0.2628413358849501
29,skull,skeletal,467,0.381,-0.07887375754417095,0.13593021110370287,0.05233012040095712,12.877763815957433,inflammation,0.05574312016710285,0.4012233245155308,0.43943506970748614
30,rib_left_4,skeletal,806,0.657,0.06690690639547088,0.10037592371163782,0.05111390574731957,11.57407957951923,trauma,0.0248776762084234,0.27196796405213797,0.3209408016199207
31,vertebrae_T1,skeletal,704,0.574,0.06808403764436903,0.1150300630449856,0.04953397281276327,11.803854218302728,trauma,0.18097330831985006,0.19930676711750245,0.2628413358849501
32,subclavian_artery_left,cardiovascular,751,0.612,0.29211041444334646,5.8797646636518295e-15,0.047117069929087596,11.018510975392754,vascular,0.36406442233612074,0.0011333053211528862,0.014481123548064656
33,heart,cardiovascular,919,0.749,0.1567737598007806,7.627988655767701e-06,0.04413145935356173,11.73966157695104,vascular,0.2660799952382439,0.018534299300555144,0.10468497965807734
34,brain,nervous,247,0.201,0.12388972443974432,0.09610087793510015,0.043627161242482906,13.908380820627679,vascular,0.02963786319880788,0.3909484360451088,0.4322987513960338
35,thyroid_gland,endocrine_reproductive,704,0.574,0.07760124411155268,0.0797897326923184,0.04191230686223843,12.048941621008778,inflammation,0.2886398286042434,0.031677909046960745,0.1349244274222402
36,esophagus,digestive,1032,0.841,0.21483140830640873,4.408336194795696e-11,0.0416588533417286,11.768417724617551,inflammation,0.3086217197224681,0.01070439618638091,0.07693784758961279
37,vertebrae_T9,skeletal,848,0.691,0.14488858307134017,7.289158848731295e-05,0.03788444440637143,11.441922260153078,tumor,0.2602834080065566,0.003834324261812844,0.04065496015201597
38,rib_left_5,skeletal,866,0.706,0.062249118144837606,0.11183685461774416,0.03767075501060212,11.490072288878787,tumor,0.1928800722663253,0.010074736076227157,0.07693784758961279
39,vertebrae_T11,skeletal,886,0.722,0.2103331252463864,2.1107097578413872e-09,0.0354299144108936,11.90259125502013,trauma,0.22152993497657597,0.044350070713314274,0.13800766665348468
40,hip_left,skeletal,644,0.525,0.20647543324873677,7.163182672158386e-07,0.03422833359711284,12.19000686934221,vascular,0.13880168468532236,0.2640395440877493,0.3196268165272755
41,hip_right,skeletal,637,0.519,0.22320950926310784,8.894141394566685e-08,0.034021036863690596,12.628498507541012,vascular,0.2403770467025597,0.0620116114896474,0.1550290287241185
42,vertebrae_T5,skeletal,733,0.597,0.17666632553081535,6.846145153272365e-06,0.02854951960802517,11.468326577069275,trauma,0.24567600674093967,0.04030664344842503,0.13800766665348468
43,prostate,endocrine_reproductive,338,0.275,0.1542243025489667,0.010972943693200496,0.02817053782458892,11.808727722716382,tumor,0.1561852046991697,0.12951831967695232,0.20978319384295094
44,rib_left_10,skeletal,879,0.716,0.047826809990561936,0.21820230407487667,0.02593636783322715,11.982453435908031,inflammation,0.23313881099147632,0.03785753178865671,0.1377673054035079
45,gluteus_minimus_right,muscular,569,0.464,-0.01820113325036757,0.7404813674326486,0.02593624210032548,12.891357593826136,inflammation,0.11685722149021814,0.2206153585583973,0.2850647891484909
46,humerus_left,skeletal,613,0.5,-0.003362403087082965,0.941979446223814,0.025108846817516767,12.22648254253832,inflammation,0.11147851762146739,0.25716693479043395,0.3166851781453722
47,colon,digestive,910,0.742,0.01944057547175133,0.653977805579231,0.024841746564589186,12.40180669509867,inflammation,0.15727663253280214,0.23244343116043226,0.2905542889505403
48,common_carotid_artery_right,cardiovascular,721,0.588,0.25288948543330103,7.079975880157174e-11,0.023498846672158007,11.272354836935817,trauma,0.34764050392087453,0.01241704139976506,0.07933109783183231
49,vertebrae_L2,skeletal,711,0.579,0.15957076868688136,6.285247331448899e-05,0.02178370996226274,12.191466844464184,vascular,0.2936198906948303,0.014502256933876778,0.08777681828399103
50,vertebrae_C7,skeletal,690,0.562,0.07620122409744982,0.08701795395836029,0.0209836952136709,12.141212097700834,trauma,0.24009467616364807,0.05891222275585767,0.15335578307246933
51,gluteus_maximus_right,muscular,594,0.484,-0.016128458423788863,0.7468011241836445,0.02050984722284014,12.571796140869091,inflammation,0.25512828459034165,0.10084545368798803,0.18837173997237164
52,rib_right_6,skeletal,868,0.707,0.05889037972352215,0.13061772948770217,0.019763117367643943,12.047805496428305,trauma,0.118627902869771,0.1866975325301043,0.2618319053775853
53,rib_right_8,skeletal,859,0.7,0.07859236766345175,0.04523821091621831,0.019631053337786215,12.288685593489516,inflammation,0.07084882547427838,0.36090377900583515,0.41503934585671043
54,brachiocephalic_vein_right,cardiovascular,735,0.599,0.10985621273408219,0.007312169643207661,0.019006007860486562,11.525747379537336,inflammation,0.33166325365605415,0.010334010119218239,0.07693784758961279
55,vertebrae_C5,skeletal,349,0.284,-0.07548638528816096,0.21820230407487667,0.01776871465297749,12.178766043356791,tumor,0.4435627964811913,0.004855002558447726,0.04652710785179071
56,pulmonary_vein,cardiovascular,772,0.629,0.1309015510371643,0.0007444953464543584,0.017213514182693394,11.476128215177573,vascular,0.12857790589169274,0.18246210134107732,0.2590511315336283
57,vertebrae_T12,skeletal,870,0.709,0.17179622463401856,1.880527497827431e-06,0.017083569923828673,11.834949111691342,trauma,0.2691227250390812,0.05722811725919758,0.15335578307246933
58,vertebrae_L4,skeletal,635,0.518,0.1971269019900534,2.7661969461698335e-06,0.014761456336000267,12.65371756393458,vascular,0.2737728638762475,0.03777566799330436,0.1377673054035079
59,gluteus_minimus_left,muscular,578,0.471,-0.027712024418230213,0.6191609119664215,0.014459104819319146,12.696145902440385,trauma,0.2320617363106414,0.09846283186497268,0.18837173997237164
60,rib_right_2,skeletal,749,0.61,0.02116750535509475,0.653977805579231,0.014352826403144192,12.086955327736701,trauma,0.22185006011538305,0.14048910527191055,0.22439232092041267
61,superior_vena_cava,cardiovascular,777,0.633,0.24054486365390526,1.2513807935773845e-10,0.013795026836782114,11.384165381589996,trauma,0.2155187130952692,0.0640540381370295,0.1567279656544339
62,inferior_vena_cava,cardiovascular,976,0.795,-0.12773223026107441,0.00018538614975355537,0.013365866293570432,11.537581780272543,trauma,0.23431125610274398,0.04773043215172252,0.14195280596120774
63,vertebrae_L3,skeletal,644,0.525,0.13189133702738667,0.0021210765807423383,0.013255764240931852,12.554390043269525,vascular,0.23997713786755295,0.09987830535336051,0.18837173997237164
64,iliopsoas_left,muscular,835,0.681,-0.07647426818781984,0.05671002666605352,0.01279980185473548,12.010666902564623,inflammation,0.21985217727980527,0.10922185318450994,0.19031080479119156
65,femur_right,skeletal,556,0.453,0.24841252050780294,2.2171360815268073e-08,0.012602410052199923,11.884126162620596,trauma,0.25943961214315153,0.08815333461808139,0.18102916930498855
66,vertebrae_T10,skeletal,876,0.714,0.16140829925928107,6.949960270845008e-06,0.012445689921683325,11.623529332585557,trauma,0.2731156576634968,0.019116387589735863,0.10468497965807734
67,gluteus_maximus_left,muscular,595,0.485,-0.02089742883952508,0.6888091843395343,0.012308284099093642,12.721729985214251,trauma,0.25533552676761345,0.05979465008448085,0.15335578307246933
68,vertebrae_T3,skeletal,742,0.605,0.10677314961251995,0.008981212202316912,0.011676122530451671,11.80132071271693,trauma,0.2320706595788157,0.0708427801872821,0.16293839443074884
69,adrenal_gland_left,endocrine_reproductive,799,0.651,0.05221216112106054,0.20172759658442518,0.010744860143985024,12.522314453904977,tumor,0.1742728754395871,0.044402466662425505,0.13800766665348468
70,vertebrae_T6,skeletal,732,0.597,0.1627723565263761,3.562643840688711e-05,0.01069887804405507,11.3089591719622,trauma,0.2620873409077479,0.030337821891721573,0.1349244274222402
71,rib_right_9,skeletal,859,0.7,0.06976344066403378,0.0811638815273191,0.010696709414794083,11.97488094371686,vascular,0.1052367760421103,0.10584802909102298,0.18837173997237164
72,brachiocephalic_vein_left,cardiovascular,731,0.596,0.09047015057188453,0.031868365289567206,0.009243832854428008,11.592715907468959,tumor,0.08447290685041493,0.20113076137283142,0.2628413358849501
73,vertebrae_S1,skeletal,597,0.487,0.18363900820952742,2.4988311035943182e-05,0.007849382137017608,12.462022572638809,vascular,0.22637402450725327,0.12082462912595282,0.20137438187658804
74,rib_left_9,skeletal,889,0.725,0.042882557907017706,0.25743174859524615,0.007547856657665264,12.058166749619538,trauma,0.14835363520271763,0.10647098346264483,0.18837173997237164
75,rib_right_1,skeletal,738,0.601,0.06089587381885118,0.1487787583872463,0.006574364730854612,11.92120535156963,vascular,0.34184135830935575,0.00047260934050408676,0.009058345692994997
76,rib_left_7,skeletal,889,0.725,0.04864521619655609,0.20909256628410133,0.005976094930351045,11.858929492066158,trauma,0.2768398181374787,0.04423160387467565,0.13800766665348468
77,rib_right_7,skeletal,850,0.693,0.050713056120639186,0.20172759658442518,0.005728029297160156,12.091840787181326,trauma,0.1477201327723674,0.2271058505894668,0.2901908090865409
