channel,heldout_r,cv_r_dev,passed,alpha,l1_ratio,n_features
S_structure,0.5871734746242023,0.5858720120644114,True,0.4248751402844768,0.1,786
M_myelin,0.505443581654566,0.5328245635324621,True,0.04837742366383294,0.1,360
P_perfusion,0.5141430575954098,0.5150776392923795,True,0.10296435995815625,0.5,758
F_function,0.4966736295719871,0.516521052919807,True,0.2670968430389973,0.1,379
