beta,se,ci_low,ci_high,F,p_value,n,df_resid,secondary,q_value_bh
-2.8842905972982393,10.607350899050587,-23.989591609247476,18.221010414650998,0.07393739693812315,0.7863797825161676,89,81,endurance_2min,0.7863797825161676
-2.229119396461309,1.8036070444701402,-5.810725537737021,1.3524867448144025,1.527505617029437,0.21959984550465114,101,93,grip_dominant,0.3293997682569767
0.48007706702092023,0.36243406813262774,-0.23954427138749002,1.1996984054293305,1.7545425034464481,0.18851805449619768,102,94,moca,0.3293997682569767
