,p,pr,qrs,stt
atrial_disease,0.21433421613061954,0.2964679614998468,0.07506390220274378,0.31679529216938856
av_conduction_disease,0.285391269646917,0.49338408039082543,0.1937330769962258,0.37649483759820274
ventricular_conduction_disease,0.1857602532054553,0.3870348072875232,-0.011442970440361864,0.4706292595730618
hypertrophy,0.08611400940906391,0.1828452336146692,0.05811727378319312,0.5309129611701473
ischemia_or_stt_abnormality,0.2824881107721774,0.40861468288420305,0.12499061108577858,0.5618194789342262
myocardial_infarction,0.2343589642384205,0.36237252382864554,0.12529472248755213,0.3407803779446911
