group,canon_sub,n_full,n_pure,I_full,I_pure,I_pure_lo,I_pure_hi,wpc_full,wpc_pure,wpc_pure_lo,wpc_pure_hi,rawbeta_full,rawbeta_pure
Atrial disease,P,495,65,-0.06254695048050019,-0.09170379557719888,-0.2445634311021114,0.05023961035159146,-0.14354042049010976,-0.20759554760899532,-0.4456468890977357,-0.000263646221730305,0.5667819838604904,0.3338699009365213
AV block,PR,211,36,0.031147583673845958,-0.23144649536918077,-0.43466691782156264,-0.019023777109736323,0.2959000663733682,-0.21503430071196122,-0.5161249168369832,0.11739031877513136,0.8122752391638026,0.2928592715351983
BBB / VCD,QRS,837,322,0.09018180141791254,0.06978341150098233,-0.014789128893433492,0.16889925036546205,-0.026701769955174714,0.08028802477114444,-0.03559774446509501,0.2035662795012909,0.4843774006700809,0.3854357823785662
Hypertrophy,QRS,480,116,-0.040540102751358886,-0.15351114470426735,-0.2915843294125157,-0.01783246240421738,-0.20099764218087024,-0.21743805016918885,-0.4282358240500804,0.001204860088163485,0.3658069125358543,-0.12069994019394444
Ischemia / ST-T,STT,1111,433,0.07145566343346788,0.11161692468695394,0.04303799759812994,0.1782161763855709,0.047992921464884965,0.15334188387188713,0.058973457663979295,0.2425525691050951,0.8000572882288562,0.7603942116850926
Myocardial infarction,STT,1073,402,0.02295468905054132,0.010606227506798072,-0.05641361612916795,0.07612290741796109,-0.016675044379017498,0.018660954298345727,-0.07207362815845404,0.11196210766366486,0.6236550178383216,0.43506395464546177
