SEQN,n_valid_days,cal_ok,steps_per_day,mvpa_min,light_min,sed_min,mean_intensity,peak1min,wear_min,steps_cv,mvpa_cv,sed_frac,active_frac
31131.0,7,True,9733.285714285714,15.142857142857142,400.57142857142856,1024.2857142857142,173.71914682539682,4328.0,1440.0,0.218618924706781,0.5021019068954367,0.7113095238095237,0.2886904761904762
31144.0,7,True,3755.4285714285716,14.714285714285714,106.85714285714286,1318.4285714285713,76.85724206349207,4132.0,1440.0,0.8757896120324389,1.0548325132480139,0.9155753968253969,0.08442460317460318
31151.0,7,True,7744.285714285715,6.571428571428571,339.85714285714283,1093.5714285714287,139.70902777777778,3152.285714285714,1440.0,0.2159820685010749,0.7020763157371801,0.7594246031746031,0.2405753968253968
31152.0,7,True,5378.428571428572,7.0,216.42857142857142,1216.5714285714287,89.49513888888889,3885.0,1440.0,0.4503329741709157,0.5150787536377127,0.8448412698412698,0.1551587301587302
31153.0,7,True,4679.0,6.285714285714286,240.0,1193.7142857142858,99.11319444444446,3311.8571428571427,1440.0,0.28375168985083987,0.7445855985033706,0.8289682539682539,0.17103174603174603
31155.0,7,True,7989.0,38.0,136.0,1266.0,143.93333333333334,4671.857142857143,1440.0,0.255965042528096,0.5600999119419148,0.8791666666666665,0.12083333333333332
31156.0,7,True,7063.285714285715,13.0,233.42857142857142,1193.5714285714287,105.18005952380952,3545.1428571428573,1440.0,0.4775097162209402,0.6265021396343905,0.8288690476190477,0.17113095238095238
31160.0,7,True,7211.571428571428,20.142857142857142,272.7142857142857,1147.142857142857,187.7394841269841,9247.857142857143,1440.0,0.6145065769186013,0.33232582510969655,0.7966269841269842,0.20337301587301587
31164.0,7,True,15233.0,32.285714285714285,450.7142857142857,957.0,254.91418650793653,5088.571428571428,1440.0,0.6159293981688688,0.7439464277504282,0.6645833333333334,0.3354166666666666
31167.0,7,True,25729.571428571428,20.142857142857142,576.4285714285714,843.4285714285714,317.68978174603177,11830.285714285714,1440.0,0.22997341675155372,0.5170661886598517,0.5857142857142856,0.4142857142857142
