"dropped","D_HR","D_lo","D_hi","z","D_p_designt","sig_05"
"Cardiovascular",1.09242953414462,1.03175409605436,1.15667317593916,3.11225792254744,0.0031556044424335,TRUE
"Metabolic",1.19758018126671,1.16000561371468,1.23637185338275,11.3784124238462,4.21992034498048e-15,TRUE
"Renal",1.28539071589466,1.22657909738274,1.34702221490134,10.7844035017143,2.64656885591791e-14,TRUE
"Hepatic",1.25654809439823,1.21686256366991,1.29752788907731,14.3154383424282,9.34454062419439e-19,TRUE
"Immune",1.11548887618466,1.0540989601138,1.1804540939471,3.88416457806761,0.000320115650643196,TRUE
"Hematologic",1.26493300638483,1.22880969244862,1.30211823724582,16.3184503976526,5.45534810082858e-21,TRUE
