organ,Never,Former,Current,delta,d,p,p_fdr
Hematologic,-0.3710934401361165,0.2512058348807816,1.7746935652512017,2.145787005387318,0.4800693907071633,6.766064077889551e-109,4.059638446733731e-108
Metabolic,3.2084680791983793,5.515647657153744,4.8401372819286745,1.6316692027302953,0.11216043599575841,1.0623180762003907e-07,1.2747816914404688e-07
Hepatic,-0.07249928213681443,0.17712508639650618,1.0176407977060546,1.090140079842869,0.35160433259630464,9.417820196049636e-60,1.8835640392099271e-59
Cardiovascular,1.3073054199949716,1.3890094947073761,1.288758192199921,-0.01854722779505047,-0.003332149245231439,0.8723304699285312,0.8723304699285312
Immune,0.28312083108894104,0.23256167742077738,-0.83277279491691,-1.115893626005851,-0.41915845997504103,6.957661625911526e-89,2.0872984877734578e-88
Renal,1.114061164975712,2.109022519297514,-0.16194911847555488,-1.276010283451267,-0.23158097548901574,1.1385688474092939e-29,1.707853271113941e-29
