organ,n,events,HR_adj_agesex,lo_uni,hi_uni,p_uni,pfdr_uni,HR_joint,lo_joint,hi_joint,p_joint
Hepatic,14299,1728,1.380437904001117,1.3312614021536844,1.4314309749536394,5.808352293978033e-68,1.74250568819341e-67,1.3025358155282556,1.2522904692423023,1.3547971436374378,1.3269341853980676e-39
Hematologic,14537,1764,1.3601809032967371,1.325695395029766,1.3955634881356644,6.89856513702472e-122,4.139139082214833e-121,1.34270942644864,1.3026965420069427,1.3839513238413337,2.965896346065342e-81
Metabolic,13816,1580,1.1953571323653884,1.153447983529804,1.2387889998507973,1.1287667273483769e-22,1.6931500910225654e-22,1.2067899887085163,1.1624787149575562,1.2527903161652933,7.001587836276233e-23
Renal,14401,1743,1.1894201251654046,1.156910246300943,1.222843551322892,1.3432661213986622e-34,2.6865322427973244e-34,1.1238300526361196,1.0890572135262813,1.159713164305325,3.33851367888764e-13
Immune,14407,1744,1.0057999770228059,0.9518511990603703,1.062806449976342,0.8371002102599091,0.8371002102599091,0.9457990639764913,0.9102144955777186,0.9827748006265706,0.004399901667506534
Cardiovascular,14621,1808,0.9696448846248081,0.9291103909085975,1.0119477851922465,0.15711793808270375,0.18854152569924448,1.0110834334442396,0.9665569453224638,1.0576611283304518,0.6314544932854266
